molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,MolLogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1214130,O=C(Nc1cc(C(F)(F)F)ccc1F)Nc1ccc(Oc2ccnc3[nH]c(=O)c(C(F)(F)F)nc23)c2ccccc12,active,577.4160000000002,7.0843000000000025,3,5,6.872895201635193
CHEMBL1214131,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(-c2ccccc2)n1,active,545.6030000000002,6.390800000000005,3,7,7.113509274827518
CHEMBL1214132,Cc1nc2c(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c4ccccc34)ccnc2[nH]c1=O,active,559.6300000000001,6.699220000000005,3,7,7.173925197299173
CHEMBL1214133,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)c(N)nc34)c3ccccc23)n(-c2ccccc2)n1,active,560.6180000000003,5.973000000000004,4,8,7.070581074285707
CHEMBL1214134,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)cc1,active,559.6300000000003,6.699220000000006,3,7,7.096910013008056
CHEMBL1214135,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)c(C)nc34)c3ccccc23)cc1,active,573.6570000000004,7.0076400000000065,3,7,7.00436480540245
CHEMBL1214136,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)c(N)nc34)c3ccccc23)cc1,active,574.6450000000003,6.281420000000005,4,8,6.823908740944319
CHEMBL1214137,O=C(Nc1ccc(Oc2ccnc3ncc(=O)[nH]c23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,active,475.814,5.426600000000001,3,5,6.876148359032914
CHEMBL1214138,O=C(Nc1ccc(Oc2ccnc3ncc(=O)[nH]c23)cc1)Nc1cc(C(F)(F)F)ccc1F,intermediate,459.35900000000004,4.912300000000002,3,5,5.889410289700751
CHEMBL1214139,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3ncc(=O)[nH]c23)cc1F,active,493.80400000000014,5.565700000000001,3,5,7.229147988357855
CHEMBL1214196,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4ncc(=O)[nH]c34)cc2)cc1,intermediate,509.5700000000003,5.546020000000005,3,7,5.640164517660112
CHEMBL1214197,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4ncc(=O)[nH]c34)cc2F)n(-c2ccccc2)n1,active,513.5330000000001,5.376700000000004,3,7,6.026872146400302
CHEMBL1214198,Cc1nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c(F)c3)c2[nH]c1=O,intermediate,527.5600000000002,5.685120000000004,3,7,5.070581074285707
CHEMBL1214250,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4nc(N)c(=O)[nH]c34)cc2F)cc1,active,542.5750000000004,5.267320000000003,4,8,6.653647025549361
CHEMBL1214251,CSc1cc(Oc2ccnc3ncc(=O)[nH]c23)ccc1NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,active,521.9080000000001,6.148500000000002,3,6,7.1487416512809245
CHEMBL1214252,CSc1cc(Oc2ccnc3ncc(=O)[nH]c23)ccc1NC(=O)Nc1cc(C(F)(F)F)ccc1F,active,505.4530000000001,5.634200000000002,3,6,6.609064892896621
